cancer_type,paper_id,conf_reason,snippet_500
Colon_Cancer,paper_000400,no_site_signal_anywhere,the molecular heterogeneity of renal cell carcinoma rcc complicates the therapeutic interventions for advancedmetastatic disease and thus its management remains a significant challenge this study investigates the role of thelncrna cdkn2bas1 and mir1413p interactions in the progression and metastasis of kidney cancer human renalcancer cell lines achn and caki1 normal rptec cells tissue cohorts and a series of in vitro assays and in vivo mousemodel were used for this study an overexpression of cdk
Colon_Cancer,paper_000401,weak_site_presence,"alcoholic liver disease ald is a chronic alcoholinduced disorder of the liver for which there are few effectivetherapies for severe forms of ald and for those who do not achieve alcohol abstinence in this study we used asystematic drugrepositioning bioinformatics approach querying a large compendium of geneexpression profiles toidentify candidate us food and drug administration fda""approved drugs to treat ald one of the top compoundspredicted to be therapeutic for ald by our approach was dimethy"
Colon_Cancer,paper_000402,no_site_signal_anywhere,"breast cancer bc is the most common malignant tumour in women worldwide and one of the most common fataltumours in women deltanotchlike epidermal growth factor egfrelated receptor dner is a transmembraneprotein involved in the development of tumours the role and potential mechanism of dner inepithelial""mesenchymal transition emt and apoptosis in bc are not fully understood we find that dner isoverexpressed in bc tissue especially triplenegative breast cancer tnbc tissue and related to the surviv"
Colon_Cancer,paper_000403,no_site_signal_anywhere,"overexpression of epithelial cell adhesion molecule epcam has been associated with chemotherapeutic resistanceleads to aggressive tumor behavior and 
results
in an adverse clinical outcome the molecular mechanism by whichepcam enrichment is linked to therapeutic resistance via nrf2 a key regulator of antioxidant genes is unknown wehave investigated the link between epcam and the nrf2 pathway in light of therapeutic resistance using head andneck squamous cell carcinoma hnscc patient tumor samples"
Colon_Cancer,paper_000405,no_site_signal_anywhere,the hypoxic tumour is a chaotic landscape of struggle and adaption against the adversity of oxygen starvationhypoxic cancer cells initiate a reprogramming of transcriptional activities allowing for survival metastasis andtreatment failure this makes hypoxia a crucial feature of aggressive tumours its importance to cancer and otherdiseases was recognised by the award of the nobel prize in physiology or medicine for research contributing toour understanding of the cellular response to oxygen depri
Colon_Cancer,paper_000409,no_cancer_signal_anywhere,"surfactin from bacillus subtilis displays antiproliferative effect via apoptosis induction cell cycle arrest and survival cell membrane protein cell "" meeting of pharmaceutical society of japan p signaling suppression febs lett "" domonad arch microbiol "" dorn e hellwig m reineke w knackmuss h j isolation and characterization of a 3chlorobenzoate degrading pseu chang yj phylogenetic analysis of aerobic freshwater and marine enrichment cultures efficient in hydrocarbon degradation effect of profil"
Colon_Cancer,paper_000410,dominant_other_site,of hydrophobic fragments into its structure allowed the preparation of waterinsoluble modified dtpa complexes21 the original substance of the modified dtpa dtpamod was synthesized in tomsk polytechnic university preparation of colloid solution dtpamod was produced using the following method a sample of modified dtpa with the mass of a0mg was quantitatively transferred to a volumetric flask of a0ml and dissolved in a0ml of nahco3 solution by heating to a0°c after that the volume was adjusted with
Colon_Cancer,paper_000415,weak_colon_context,t he gut is the largest immune an of the humanbody and also an important target an for variouskinds of stress caused by severe insults such as infectiontrauma and shock12 these stresses are considered to haveinstitution at which the work was performed department oftraumatology and acute critical medicine osaka universitygraduate school of medicine yamadaoka suita osaka japancorresponding yasutaka nakahori md division of trauma andsurgical critical care osaka general medical center bandaihigashi 
Colon_Cancer,paper_000418,no_cancer_signal_anywhere,"introduction
postoperative ileus poi a common complication after surgery severely affects postoperative recovery it is unclear whether pretreatment with transcutaneous electrical acupoint stimulation teas can improve recovery from poi this trial will evaluate the effects of pretreatment with teas on poi
methods
and analysis this will be a prospective randomised controlled trial american society of anesthesiologists asa physical status classification i""iii level patients aged "" years and schedule"
Colon_Cancer,paper_000419,dominant_other_site,"""
objectives
to describe the benefits and 
limitations
of using individual and combinations of linked english electronic health data to identify incident cancersdesign and setting our descriptive study uses linked english clinical practice research datalink primary care cancer registration hospitalisation and death registration dataparticipants and measures we implemented case definitions to identify first site specific cancers at the most common sites based on the first ever cancer diagnosis re"
